tema,indicador,periodo,categoria,codigo_categoria,valor,unidade,territorio,codigo_territorio,nivel_geografico,situacao_periodo,fonte,fonte_url,data_extracao,observacao
pecuaria,efetivo_rebanho,2021,Caprinos,2681,780,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2022,Caprinos,2681,699,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2023,Caprinos,2681,566,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2024,Caprinos,2681,459,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2019,Ovinos,2677,14896,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2020,Ovinos,2677,14477,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2021,Ovinos,2677,13287,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2022,Ovinos,2677,12591,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2023,Ovinos,2677,10199,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2024,Ovinos,2677,8261,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2019,Galináceos,32796,387416,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2020,Galináceos,32796,357026,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2021,Galináceos,32796,375269,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2022,Galináceos,32796,303968,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2023,Galináceos,32796,288769,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho,2024,Galináceos,32796,306855,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,
pecuaria,efetivo_rebanho_soma_5_especies,2019,Cinco espécies do painel,,949625,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
pecuaria,efetivo_rebanho_soma_5_especies,2020,Cinco espécies do painel,,914244,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
pecuaria,efetivo_rebanho_soma_5_especies,2021,Cinco espécies do painel,,901484,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
pecuaria,efetivo_rebanho_soma_5_especies,2022,Cinco espécies do painel,,791378,cabecas,Campo Grande (MS),5002704,municipio,ano_completo,Cálculo sobre IBGE PPM tabela 3939,"https://servicodados.ibge.gov.br/api/v3/agregados/3939/periodos/2019%7C2020%7C2021%7C2022%7C2023%7C2024/variaveis/105?localidades=N6%5B5002704%5D&classificacao=79%5B2670,32794,2681,2677,32796%5D",2026-09-17,"Soma de bovinos, suínos, caprinos, ovinos e galináceos; não é total de todas as espécies da PPM."
